port,espece_categorie,ca_2024_kdh,ca_2025_kdh,vol_2024_t,vol_2025_t,delegation,ca_diff_kdh,reduction_pct
HALLE NTIREFT,POISSON BLANC,23071.6215,32964.9315,6049.465749999999,14617.255250000002,DAKHLA OUED EDAHAB,9893.309999999998,42.88086123465573
HALLE NTIREFT,POISSON PELAGIQUE,4097.3755200000005,731.8299999999999,627.67414,116.54800000000002,DAKHLA OUED EDAHAB,-3365.5455200000006,-82.13905470885422
HALLE NTIREFT,CEPHALOPODES,347449.23300000007,289964.95249999996,4018.8085,2787.1030000000005,DAKHLA OUED EDAHAB,-57484.28050000011,-16.54465603612373
HALLE NTIREFT,COQUILLAGES,0.0,0.0425,0.0,0.0085,DAKHLA OUED EDAHAB,0.0425,0.0
HALLE GREZIME,CEPHALOPODES,282.18795,265.06503999999995,4.247999999999999,2.9845,SOUSS MASSA,-17.122910000000047,-6.067909703444122
HALLE GREZIME,POISSON BLANC,95.45155,122.667,1.8865000000000003,3.6489999999999996,SOUSS MASSA,27.215450000000004,28.512318553234607
HALLE GREZIME,POISSON PELAGIQUE,37.06051,37.4055,3.3415,2.5195,SOUSS MASSA,0.3449900000000028,0.930883034259385
HALLE GREZIME,CRUSTACES,0.0,99.9,0.0,2.7,SOUSS MASSA,99.9,0.0
HALLE MEHDIA,POISSON PELAGIQUE,54420.44999999999,52801.7285,13724.245,13947.275499999998,CASA SETTAT,-1618.7214999999924,-2.9744728314447832
HALLE MEHDIA,CEPHALOPODES,26894.437000000005,41468.41796,317.00500000000005,404.90450000000004,CASA SETTAT,14573.980959999994,54.189574446194925
HALLE MEHDIA,CRUSTACES,2589.6539900000002,1145.974,62.376000000000005,30.8155,CASA SETTAT,-1443.6799900000003,-55.747987784267664
HALLE MEHDIA,POISSON BLANC,1621.115,979.94401,37.048,21.096999999999998,CASA SETTAT,-641.17099,-39.55123418141218
HALLE SALE,CEPHALOPODES,15347.0261,23722.148,162.627,217.21200000000005,CASA SETTAT,8375.121900000002,54.57162739822279
HALLE SALE,POISSON BLANC,220.8635,0.0,3.9111000000000002,0.0,CASA SETTAT,-220.8635,-100.0
HALLE SALE,POISSON PELAGIQUE,0.0575,0.0,0.0025,0.0,CASA SETTAT,-0.0575,-100.0
CAPI DAKHLA,POISSON PELAGIQUE,1384730.1650399999,959052.02095,593274.271,367353.238,DAKHLA OUED EDAHAB,-425678.14408999984,-30.740873192265838
CAPI DAKHLA,POISSON BLANC,36904.7288,88400.2715,1379.957,18837.283,DAKHLA OUED EDAHAB,51495.542700000005,139.53643442029576
HALLE DAKHLA,CRUSTACES,37781.8,24246.219999999998,250.093,126.41300000000001,DAKHLA OUED EDAHAB,-13535.580000000005,-35.82566209127147
HALLE DAKHLA,POISSON PELAGIQUE,315103.64106,290516.43405,27957.4525,27159.566,DAKHLA OUED EDAHAB,-24587.207010000013,-7.802895240210277
HALLE DAKHLA,CEPHALOPODES,774.1764999999999,2941.4939999999997,9.5245,28.0815,DAKHLA OUED EDAHAB,2167.3174999999997,279.95134184517354
HALLE DAKHLA,POISSON BLANC,358282.6634,393014.20316999994,39926.06557,29796.686500000003,DAKHLA OUED EDAHAB,34731.539769999916,9.693893486334932
HALLE DAKHLA,COQUILLAGES,6.48,0.0,0.648,0.0,DAKHLA OUED EDAHAB,-6.48,-100.0
HALLE NADOR,CRUSTACES,42915.66300000001,41216.46000000001,825.1295000000002,659.8985,ORIENTALE,-1699.2030000000013,-3.9594005573209974
HALLE NADOR,POISSON PELAGIQUE,7222.9526000000005,4651.777,683.3295,605.238,ORIENTALE,-2571.1756000000005,-35.597292996218755
HALLE NADOR,POISSON BLANC,27835.02505,25605.875999999997,965.3795,945.6055,ORIENTALE,-2229.1490500000036,-8.00843198810056
HALLE NADOR,CEPHALOPODES,69277.84700000001,67287.92899999999,1228.8455000000001,1061.7630000000001,ORIENTALE,-1989.9180000000197,-2.872372751422283
HALLE NADOR,ALGUES,35.3418,0.0,58.903,0.0,ORIENTALE,-35.3418,-100.0
CAPI ESSAOUIRA,POISSON PELAGIQUE,57252.20450000001,27631.2706,16353.695,8784.504,MARRAKECH SAFI,-29620.933900000007,-51.73763029509196
MG TAZA,POISSON BLANC,1035.362,1390.8100000000002,106.95400000000001,166.74399999999997,CASA SETTAT,355.4480000000001,34.33079444677321
MG TAZA,AUTRE,30.994999999999997,4.54,5.274000000000001,0.16399999999999998,CASA SETTAT,-26.455,-85.35247620583965
MG TAZA,CRUSTACES,60.5,129.85,1.7239999999999998,3.9860000000000007,CASA SETTAT,69.35,114.6280991735537
MG TAZA,CEPHALOPODES,36.800000000000004,73.14999999999999,1.752,3.5220000000000007,CASA SETTAT,36.34999999999999,98.77717391304344
MG TAZA,POISSON PELAGIQUE,832.485,1191.4040000000005,179.32500000000002,248.37800000000001,CASA SETTAT,358.91900000000044,43.11417022528939
HALLE IMIOUADDAR,POISSON PELAGIQUE,44.4945,174.66087000000002,4.7355,47.781499999999994,SOUSS MASSA,130.16637000000003,292.5448538583421
HALLE IMIOUADDAR,CEPHALOPODES,25686.986,32619.5245,296.79449999999997,294.7065,SOUSS MASSA,6932.538499999999,26.988524461375107
HALLE IMIOUADDAR,CRUSTACES,361.80499999999995,78.77551,2.0731,0.2952,SOUSS MASSA,-283.02948999999995,-78.22708088611269
HALLE IMIOUADDAR,POISSON BLANC,2628.8009900000006,3282.23212,49.152499999999996,37.312,SOUSS MASSA,653.4311299999995,24.856622181962862
HALLE EL JADIDA,POISSON PELAGIQUE,38150.20027,24049.213340000002,7292.319500000001,4506.822,CASA SETTAT,-14100.98693,-36.96176384449685
HALLE EL JADIDA,CRUSTACES,2225.98,2928.26467,54.70499999999999,85.80499999999999,CASA SETTAT,702.28467,31.54946001311782
HALLE EL JADIDA,POISSON BLANC,7146.513349999999,8609.118339999999,256.43699999999995,328.51,CASA SETTAT,1462.6049899999998,20.465993952141712
HALLE EL JADIDA,ALGUES,17159.344,18571.952999999998,6331.602000000001,6617.455000000001,CASA SETTAT,1412.6089999999967,8.232301887531346
HALLE EL JADIDA,CEPHALOPODES,23874.858019999996,42099.51824,316.92,521.3270000000001,CASA SETTAT,18224.66022,76.33410931588863
MG OUJDA,POISSON BLANC,5187.7305,3721.4475000000007,887.5694899999999,470.40950000000004,ORIENTALE,-1466.282999999999,-28.264440490885157
MG OUJDA,CEPHALOPODES,282.70500000000004,252.176,34.67,21.558,ORIENTALE,-30.529000000000053,-10.79888930156879
MG OUJDA,AUTRE,14.62,39.3666,1.6660000000000001,4.1290000000000004,ORIENTALE,24.7466,169.265389876881
MG OUJDA,CRUSTACES,270.41099999999994,306.79400000000004,27.571999999999996,25.360000000000003,ORIENTALE,36.383000000000095,13.454704135556653
MG OUJDA,POISSON PELAGIQUE,7763.0289999999995,5925.72059,2496.4195,1523.9379999999999,ORIENTALE,-1837.3084099999996,-23.667416545783865
HALLE SIDIBOULFDAIL,POISSON PELAGIQUE,34.793310000000005,42.37773,8.520999999999999,10.123000000000001,MARRAKECH SAFI,7.584419999999994,21.798500918711078
HALLE SIDIBOULFDAIL,POISSON BLANC,558.69494,692.6166800000001,14.904499999999999,18.65,MARRAKECH SAFI,133.9217400000001,23.970458726545854
HALLE SIDIBOULFDAIL,CEPHALOPODES,4505.85175,4506.252479999999,66.11550000000001,53.2275,MARRAKECH SAFI,0.40072999999938475,0.008893546042640766
